iso2,year,indice_riesgo_climatico,PIBpc,renta_rec_nat,impuestos_ambientales,protec_der_lab
SV,1995,,1548.3763038362022,0.77923195419577,57.824773413897276,
SV,1996,,1651.3101680089492,0.509551084760622,68.50207223209,
SV,1997,,1748.9211197112948,0.820568279143213,53.4021193530396,
SV,1998,,1859.7308588774179,0.653989579847932,53.430463576158935,
SV,1999,,1908.0804545223964,0.5553467617329,64.19652551574376,
SV,2000,,1982.8709354261541,0.497077305664038,59.966834468463134,
SV,2001,,2058.044590704517,0.485786941180763,55.583734481884974,
SV,2002,,2115.4118735562624,0.470738093792746,52.723649459783914,
SV,2003,,2207.830895180691,0.464556781953447,58.69077757685353,
SV,2004,,2285.6890743889217,0.452387405870909,56.041314971123946,
SV,2005,,2447.3914084539406,0.546622489459469,59.566659755339,
SV,2006,,2665.618071948525,1.10993470507458,59.143412908930145,
SV,2007,,2830.6569377073274,1.02476871768865,57.8833448038541,
SV,2008,,2983.2482957797565,1.1698028573412,64.18264075067025,
SV,2009,,2910.186517520108,0.715439137322185,58.003107734806626,
SV,2010,,3040.0730095287786,1.02874215933074,66.67981283422459,
SV,2011,,3330.6004948665272,0.832361782908174,64.56403090580307,
SV,2012,,3497.912569155091,0.771015636279707,61.22831489498156,
SV,2013,,3582.266940051694,0.938918673106463,61.32461734693877,
SV,2014,,3666.012489138733,1.0550593254644,60.21051795360661,
SV,2015,,3790.3408910816156,0.850742982932215,58.65703911536557,
SV,2016,,3901.3401496581087,1.0221138126124,58.86616244656363,
SV,2017,,4020.1267137391883,0.88816041131789,74.85247971145176,
SV,2018,,4183.546209713581,0.663649690465912,78.3957021118933,
SV,2019,,4320.116715346275,0.562349124959244,72.59156785243742,
SV,2020,,3997.192795837087,0.764177304476048,86.14462025316456,
SV,2021,,4642.607431013421,0.535264947589614,95.55933806146572,
SV,2022,,5074.602102218056,,,
SV,2023,,5365.444913991706,,,
SV,2024,,5579.659691650286,,,
SV,2025,,,,,
GT,1990,,847.6885618303594,1.83045512720882,96.53012048192771,
GT,1991,,1014.4027968268234,1.65426431663517,94.90268767377201,
GT,1992,,1096.4597699269787,1.52332030398675,65.99854227405247,
GT,1993,,1165.674427162245,1.33092443055709,69.74021222100257,
GT,1994,,1292.672027504829,1.34833878506145,68.59083191850594,
GT,1995,,1421.0617780979567,1.59672727928084,69.86587183308495,
GT,1996,,1481.0598675067172,1.38934546996865,72.33510472022508,
GT,1997,,1638.4628185178874,1.58260940616648,72.48239975512702,
GT,1998,,1741.2011418285576,1.20269768494948,55.722621184919205,
GT,1999,,1603.6477614493433,1.42197658489313,57.013312753231716,
GT,2000,,1648.9657897155912,1.65531507910442,58.60681216931217,
GT,2001,,1537.6866357825168,1.51688956267975,47.55374490755249,
GT,2002,,1669.335174697054,1.49552331731967,41.0421686746988,
GT,2003,,1722.547019107736,1.55532613964599,45.13260123541524,
GT,2004,,1840.9118488399963,1.45629547212597,58.59173059420102,
GT,2005,,2046.4661165075804,1.55562794751834,59.30711889675736,
GT,2006,,2225.1234753877984,1.93392564321639,54.58584374234632,
GT,2007,,2458.8157391938444,1.95055907491986,50.514902363823225,
GT,2008,,2763.0598817292575,1.93184237870205,54.699587061252586,
GT,2009,,2611.6463277335247,1.63784143444565,45.19973471869128,
GT,2010,,2805.2596023732153,2.6452084845277,63.49477116833464,
GT,2011,,3168.98370607705,2.86196592041548,59.911476480836235,
GT,2012,,3286.619593362674,2.18105907544831,63.57178014766202,
GT,2013,,3444.158022758641,2.18983261245163,64.99027088897368,
GT,2014,,3689.1451041020246,2.98111660499136,65.27378378378378,
GT,2015,,3893.5053329906823,1.78572375354011,60.39779336298323,
GT,2016,,4060.1378473764325,2.01829626064269,60.45955705344247,
GT,2017,,4324.997689156005,1.50289202380162,66.50065520696832,
GT,2018,,4352.9459328970715,1.19385178218072,63.175097276264594,
GT,2019,,4511.998395526965,1.14790981503494,62.801461544027205,
GT,2020,,4477.617850006646,1.35250209053897,68.14690990320179,
GT,2021,,4912.622404146814,1.92928512463796,60.61031167322708,
GT,2022,,5358.70156997677,,,
GT,2023,,5758.327608478517,,,
GT,2024,,6150.025714385053,,,
