iso2,year,superficie_forestal,co2_emissions_moreno,vab_manufactura,vab_agricultura,vab_servicios,huella_ecologica,impuesto_medioambiental_moreno
DO,2012,5241139,21.8849,8602753634.786242,5.138927057864173,36710041643.76139,618457318451192.0,
DO,2013,52596647,21.4839,8731119215.043758,4.994105884256287,38037292378.89152,645221349325627.0,
DO,2014,52782252,21.701,9054556732.648329,4.837803032647637,40662711601.84418,66411595776401.0,
DO,2015,52968208,23.8738,9308910193.224855,5.058832344246273,43310854172.13383,68195479633601.0,
DO,2016,53054836,24.8714,9465151722.947458,5.027045105643731,46221514729.083725,680847739850121.0,
DO,2017,53141598,23.7887,9598920032.87041,4.837609340526528,48316690248.204834,70669509715833.0,
DO,2018,53228498,25.6286,10020150961.685427,4.571473238752744,51481615366.71866,707677346232647.0,
DO,2019,5331553,28.4615,10412970354.958464,4.325119569610355,53895281566.934715,710153953724837.0,
DO,2020,534027,26.926,9907913052.315792,4.522528402378887,49433367207.20264,727575432266248.0,
DO,2021,53626116,29.6681,11618999524.61192,4.215675902840547,54482010244.37293,792099280966666.0,
DO,2022,53850073,32.1128,11986156870.171719,4.153719841887107,59187745511.47718,798934565589751.0,
DO,2023,5407457,32.7889,11835931974.953543,4.294253039985247,61585715306.35055,799419400035297.0,
DO,2024,5429961,34.2225,12345521634.64075,4.453984481879723,65014206927.80363,79986411294622.0,
DO,2025,54525193,,,,,,
EC,1990,3368735,17.5569,7145155561.893572,20.52100538781155,21829865878.045,362734820322597.0,
EC,1991,3356239,17.594,7286667963.891343,20.863076832382205,22480747321.484653,359290460759661.0,
EC,1992,3343681,18.5335,7429377801.814088,18.922116996165535,22844228928.627144,361319141268315.0,
EC,1993,3331061,18.0812,7758683557.135921,23.40315896331434,23407794792.585083,36005188873929.0,
EC,1994,3318378,18.9542,8257255530.427636,22.145945959520592,23855535255.144543,364034029906131.0,0.106505974041709
EC,1995,3305632,20.8047,7984501374.347816,21.912168823555522,24770285881.696392,358006370027615.0,0.126143150709144
EC,1996,3292822,23.9699,8541428368.555294,20.75005810314836,25450441254.828747,359394911730954.0,0.163365677418173
EC,1997,3279948,24.9859,8312285311.154266,20.108773733326153,26546560460.675823,359597833354245.0,0.366226682182767
EC,1998,32670093,24.5304,8805787714.41807,17.475945464061557,27550944331.162296,352264519004733.0,0.437499228395884
EC,1999,32540053,21.7119,8080813322.278169,17.571351815211774,25251960670.292213,36035130365608.0,0.411966235501082
EC,2000,32409358,22.0624,8688635808.296448,12.401175424691049,25344906878.928726,347870557612308.0,0.843399978225457
EC,2001,32270733,24.3171,8970650979.387966,10.470148490588189,26395403868.288,35349783108268.0,0.951815538060333
EC,2002,32131878,24.2976,9158719709.832401,9.434003899653721,27650256080.854683,344775567221003.0,0.976344759803659
EC,2003,31992784,24.941,9167957495.64001,9.050128130900978,28797782229.821728,343196135230068.0,0.948869165902306
